name,faction id,trait,technology,resources,influence,ability,how to acquire,version,exclude after,exclude in twilights fall
Hope's End,,hazardous,,3,0,"Imperial Arms Vault: You may exhaust this card at the end of your turn to place 1 mech from your reinforcements on any planet you control, or draw 1 action card.",,pok,,
Primor,,cultural,,2,1,The Atrament: You may exhaust this card at the end of your turn to place up to 2 infantry from your reinforcements on any planet you control.,,pok,,
Mallice,,cultural,,0,3,Exterrix Headquarters: You may exhaust this card at the end of your turn to gain 2 trade goods or convert all of your commodities into trade goods.,Acquired by taking control of the Wormhole Nexus.,pok,,
Mirage,,cultural,,1,2,Mirage Flight Academy: You may exhaust this card at the end of your turn to place up to 2 fighters from your reinforcements in any system that contains 1 or more of your ships,Placed in a system by use of the Mirage Frontier Card.,pok,,
Custodia Vigilia,keleres,,,2,3,"Custodia Vigilia: While you control Mecatol Rex, it gains SPACE CANNON 5 and PRODUCTION 3. Gain 2 command tokens when another player scores Victory Points using imperial.",Research the I.I.H.Q Modernization faction technology.,codex 3,thunders edge,true
Custodia Vigilia Ω,keleres,,,2,2,"Custodia Vigilia: While you control Mecatol Rex, it gains SPACE CANNON 5 and Production 3. Gain 2 command tokens when another player gains a victory point using the second clause of ""Imperial.""",Gain your breakthrough as the The Council Keleres player.,thunders edge,,true
Mecatol Rex Ω,,,,1,6,The Galactic Council: You may exhaust this card and discard 1 secret objective at the end of your turn to draw 1 secret objective.,,thunders edge,,
Thunder's Edge,,,,5,1,Jupiter Brain: Gain your breakthrough when you gain this card if you do not already have it. You may exhaust this card at the end of your turn to perform 1 action.,"Unlocked when the final expedition is completed. Once unlocked, can by taken control of as usual.",thunders edge,,true
Styx,,relic,,4,0,"A Song Like Marrow: When you gain this card, gain 1 victory point. When you lose this card, lose 1 victory point.",Acquired by taking control of its systems once The Fracture has been introduced. Must defeat the neutral units that are assigned to it before you can take control of the planet.,thunders edge,,
Ordinian,bastion,,,0,0,"4X4ID ""Hyperion"" VI: You may exhaust this card when you pass to draw 1 action card and gain 1 command token.", One of the starting planets of Last Bastion. Can be taken from them as usual.,thunders edge,,
Avernus,,hazardous,,2,0,The Nucleus: ACTION: Exhaust this card to use the Embers of Muaat's STAR FORGE faction ability without spending a command token.,Gain your breakthrough as the Muaat player or take control of the planet from Muaat once they have unlocked it.,thunders edge,,true
Emelpar,,cultural,,0,2,The Acropolis: You may exhaust this card at the end of your turn to ready another component that isn't a strategy card.,,thunders edge,,
Faunus,,industrial,green,1,3,"Maxis Central Control: You may exhaust this card when you pass to gain control of a non-home, non-legendary planet that contains no units and has no attachments.",,thunders edge,,
Garbozia,,hazardous,,2,1,Dok 'N Pic's Salvage Yard: You may exhaust this card when you pass to place 1 action card from the discard pile faceup on this card; you can purge cards on this card to play them as if they were in your hand.,,thunders edge,,
Industrex,,industrial,red,2,0,Aeurex Mechanica: You may exhaust this card when you pass to place 1 ship that matches a unit upgrade technology you own from your reinforcements into a system that contains your ships.,,thunders edge,,
Tempesta,,hazardous,blue,1,1,Ionian Fuel Refinery: You may exhaust this card after you activate a system to apply +1 to the move value of 1 of your ships during this tactical action.,,thunders edge,,
