name,initative,primary,secondary,color,version,exclude after
Leadership,1,Gain 3 command tokens. Spend any amount of influence to gain 1 command token for every 3 influence spent,Spend any amount of influence to gain 1 command token for every 3 influence spent,red,base game,
Diplomacy,2,"Choose 1 system other than the Mecatol Rex system that contains a planet you control; each other player places a command token from their reinforcements in the chosen system.  Then, ready each exhausted planet you control in that system.",Spend 1 token from your strategy pool to ready up to 2 exhausted planets,orange,base game,codex 1
Diplomacy Ω,2,"Choose 1 system other than the Mecatol Rex system that contains a planet you control; each other player places a command token from their reinforcements in the chosen system. Then, ready up to 2 exhausted planets you control.",Spend 1 token from your strategy pool to ready up to 2 exhausted planets you control.,orange,codex 1,
Politics,3,Choose a player other than the speaker. That player gains the speaker token. Draw 2 action cards. Look at the top 2 cards of the agenda deck. Place each card on the top or bottom of the deck in any order.,Spend 1 token from your strategy pool to draw 2 action cards.,yellow,base game,
Construction,4,Place 1 PDS or 1 Space Dock on a planet you control. Place 1 PDS on a planet you control.,Place 1 token from your strategy pool in any system; you may place either 1 space dock or 1 PDS on a planet you control in that system.,green,base game,pok
Construction Ω,4,Place 1 PDS or 1 Space Dock on a planet you control. Place 1 PDS on a planet you control.,Spend 1 token from your strategy pool and place it in any system; you may place either 1 space dock or 1 PDS on a planet you control in that system.,green,pok,thunders edge
Construction ΩΩ,4,"Either place 1 structure on a planet you control, or use the PRODUCTION ability of 1 of your space docks. Place 1 structure on a planet you control.",Spend 1 token from your strategy pool to place 1 structure on a planet you control.,green,thunders edge,
Trade,5,Gain 3 trade goods. Replenish commodities. Choose any number of other players. Those players use the secondary ability of this strategy card without spending a command token.,Spend 1 token from your strategy pool to replenish commodities.,teal,base game,
Warfare,6,"Remove 1 of your command tokens from the game board; then, gain 1 command token. Redistribute any number of the command tokens on your command sheet",Spend 1 token from your strategy pool to use the Production ability of 1 of your space docks in your home system.,light blue,base game,thunders edge
Warfare Ω,6,"Perform a tactical action in any system without placing a command token, even if the system already has your command token in it; that system still counts as being activated. You may redistribute your command tokens before and after this action.",Spend 1 token from your Strategy Pool to use the PRODUCTION abilities of units in your home system.,light blue,thunders edge,
Technology,7,Research 1 technology. Spend 6 resources to research 1 technology.,Spend 1 token from your strategy pool and 4 resources to research 1 technology.,dark blue,base game,
Imperial,8,"Immediately score 1 public objective if you fulfill its requirements. Gain 1 victory point if you control Mecatol Rex; otherwise, draw 1 secret objective",Spend 1 token from your strategy pool to draw 1 secret objective.,purple,base game,
Lux,1,Gain 3 command tokens. Spend any amount of influence to gain 1 command token for every 3 influence spent,Spend any amount of influence to gain 1 command token for every 3 influence spent,red,twilights fall,
Noctis,2,Initiate a genome splice. Ready up to 2 planets.,Spend 1 token from your strategy pool to participate in the genome splice.,orange,twilights fall,
Tyrannus,3,Choose a player other than the speaker. That player gains the speaker token. Choose a player other than the speaker or tyrant. That player gains the benediction token. Draw 2 action cards.,Spend 1 token from your strategy pool to draw 2 action cards.,yellow,twilights fall,
Civitas,4,"Either place 1 structure on a planet you control, or use the PRODUCTION ability of 1 of your space docks. Place 1 structure on a planet you control.",Spend 1 token from your strategy pool to place 1 structure on a planet you control.,green,twilights fall,
Amicus,5,Gain 3 trade goods. Replenish commodities. Choose any number of other players. Those players use the secondary ability of this strategy card without spending a command token.,Spend 1 token from your strategy pool to replenish commodities.,teal,twilights fall,
Calamitas,6,Initiate a unit upgrade splice. Resolve the PRODUCTION abilities of your units in 1 system.,Spend 1 token from your strategy pool and 4 resources to either participate in the unit upgrade splice or use the PRODUCTION abilities of the units in your home system.             NOTE: You do not have to spend 4 resources to use the PRODUCTION abilities of units in your home system.,light blue,twilights fall,
Magus,7,"Initiate an ability splice. You may spend 3 resources and 3 influence to add 1 additional ability to the pool; if you do, after each player has chosen, it passes back to you and you take an additional ability.",Spend 1 token from your strategy pool and 3 resources or 3 influence to participate in the ability splice.,purple,twilights fall,
Aeterna,8,"Immediately score 1 public objective if you fulfill its requirements; otherwise, draw 1 paradigm. Gain 1 victory point if you control Mecatol Rex; otherwise, draw 1 secret objective",Spend 1 token from your strategy pool to draw 1 secret objective or 1 paradigm.,pink,twilights fall,
